"Polling_firm","PollDate","LPC","CPC","NDP","BQ","GPC","SampleSize","LPC_moe","CPC_moe","NDP_moe","BQ_moe","GPC_moe","NumDays","pollster_id"
"Forum Research",2018-08-12,0.36,0.42,0.15,0.02,0.04,1777,0.0113866906876892,0.0117083292862996,0.00847054547750913,0.00332111811724268,0.0046485970072899,1029,7
"Nanos Research",2018-08-10,0.358,0.351,0.201,0.032,0.048,1000,0.0151603430040352,0.0150930116279025,0.0126727660753286,0.00556560868189635,0.00675988165576883,1027,13
"Nanos Research",2018-08-03,0.369,0.366,0.178,0.023,0.052,1000,0.0152590628807932,0.0152329905140127,0.0120961150788177,0.00474035863622153,0.00702111102319284,1020,13
"Nanos Research",2018-07-27,0.358,0.352,0.191,0.022,0.066,1000,0.0151603430040352,0.0151028474136502,0.0124305671632472,0.00463853425124791,0.00785136930732468,1013,13
"EKOS",2018-07-26,0.349,0.321,0.173,0.04,0.093,1302,0.0132098448136229,0.0129384398521016,0.0104826313812842,0.00543075386641704,0.00804895734152656,1012,5
"Abacus Data",2018-07-22,0.36,0.34,0.19,0.03,0.07,2000,0.010733126291999,0.0105924501414923,0.00877211491032807,0.00381444622455213,0.00570526073023837,1008,1
"Nanos Research",2018-07-20,0.358,0.359,0.19,0.02,0.061,1000,0.0151603430040352,0.0151696736945789,0.0124056438768812,0.00442718872423573,0.00756828910652864,1006,13
"Mainstreet Research",2018-07-17,0.394,0.369,0.118,0.024,0.07,9384,0.00504417822993451,0.00498119866633049,0.00333028419791385,0.00157992521432644,0.0026338830941127,1003,12
"Ipsos",2018-07-16,0.39,0.32,0.21,0.02,NA,1000,0.0154240072614091,0.0147512711316686,0.0128802173894698,0.00442718872423573,NA,1002,10
"Nanos Research",2018-07-13,0.373,0.345,0.184,0.018,0.071,1000,0.0152928414625929,0.0150324648677454,0.0122533260790693,0.00420428352992516,0.00812151463706124,999,13
"Nanos Research",2018-07-06,0.357,0.334,0.203,0.024,0.068,1000,0.0151509405648626,0.0149145566477854,0.0127197091161709,0.00483983470792134,0.00796090447122687,992,13
"Ipsos",2018-06-29,0.33,0.37,0.21,0.03,NA,1002,0.0148545845662116,0.0152523680305362,0.0128673564602621,0.0053890552203206,NA,985,10
"Nanos Research",2018-06-29,0.365,0.331,0.208,0.027,0.054,1000,0.0152241584332271,0.0148808265899445,0.0128349522788361,0.00512552436341883,0.00714730718522718,985,13
"Nanos Research",2018-06-22,0.367,0.32,0.206,0.036,0.057,1000,0.0152417518678136,0.0147512711316686,0.0127892142057282,0.00589101010014412,0.00733150734842433,978,13
"Campaign Research",2018-06-18,0.34,0.36,0.18,0.03,0.08,1579,0.0119212106274729,0.012079533772548,0.00966834443448635,0.00429294603822873,0.00682728200731055,974,3
"Ipsos",2018-06-15,0.32,0.36,0.2,0.05,NA,1001,0.0147439010232237,0.0151713489897843,0.0126427908248203,0.00688858094621435,NA,971,10
"Nanos Research",2018-06-15,0.369,0.325,0.199,0.041,0.051,1000,0.0152590628807932,0.0148113132435986,0.0126253316788115,0.00627048642451285,0.00695693898205238,971,13
"Angus Reid",2018-06-14,0.36,0.32,0.16,0.04,0.09,1023,0.0150073295875373,0.0145845028158365,0.01146203730234,0.00612671664853987,0.00894755000133517,970,2
"Nanos Research",2018-06-08,0.353,0.33,0.22,0.041,0.048,1000,0.0151126106282138,0.0148694317309035,0.0130996183150503,0.00627048642451285,0.00675988165576883,964,13
"Nanos Research",2018-06-01,0.341,0.34,0.212,0.044,0.054,1000,0.0149906304070243,0.0149799866488592,0.0129250145067617,0.00648567652600714,0.00714730718522718,957,13
"Forum Research",2018-05-31,0.31,0.44,0.17,0.02,0.05,969,0.0148574235335649,0.0159462461331147,0.0120670640624685,0.00449744796342265,0.00700140042014005,956,7
"Nanos Research",2018-05-25,0.33,0.36,0.198,0.04,0.064,1000,0.0148694317309035,0.0151789327688082,0.012601428490453,0.00619677335393187,0.00773976743836661,950,13
"Nanos Research",2018-05-18,0.351,0.34,0.201,0.036,0.059,1000,0.0150930116279025,0.0149799866488592,0.0126727660753286,0.00589101010014412,0.00745110730026081,943,13
"Forum Research",2018-05-16,0.3,0.46,0.18,0.02,0.04,1484,0.0118957737857722,0.01293775269295,0.00997300939747118,0.00363421892155816,0.00508684684079157,941,7
"Innovative Research",2018-05-14,0.35,0.38,0.15,0.04,0.07,2327,0.00988763688292059,0.0100621190508623,0.00740213328290878,0.00406225723217641,0.00528922817430344,939,8
"Nanos Research",2018-05-11,0.361,0.344,0.185,0.037,0.06,1000,0.0151881203577006,0.0150221170279026,0.0122790471943062,0.00596917079668525,0.00750999334220743,936,13
"Leger",2018-05-10,0.39,0.36,0.15,0.02,NA,2103,0.0106359817796265,0.0104669849817272,0.00778637751142061,0.00305287061967044,NA,935,11
"Nanos Research",2018-05-04,0.38,0.332,0.176,0.042,0.054,1000,0.0153492670834799,0.0148921455808087,0.0120425910833176,0.00634318531969546,0.00714730718522718,929,13
"Innovative Research",2018-05-02,0.35,0.38,0.16,0.04,0.06,1000,0.0150831031289984,0.0153492670834799,0.0115931013969515,0.00619677335393187,0.00750999334220743,927,8
"Ipsos",2018-04-30,0.36,0.35,0.2,0.03,NA,1907,0.0109917259247311,0.0109223315112832,0.00915977160394255,0.00390634995939225,NA,925,10
